id,tag_name,LOC,dayDifference, dayDifferenceHours
15550014,v1.3.0,22230,70 days,1:08:57
14421730,v1.2.0,21019,38 days,0:30:02
13776530,v1.1.2,20948,18 days,4:13:37
13406784,v1.1.1,20900,7 days,7:45:50
13259147,v1.1.0,20900,57 days,20:30:01
12313426,v1.0.0,19948,10 days,20:40:38
12116765,v0.11.0,19580,121 days,2:03:50
10329323,v0.10.2,19106,2 days,14:33:11
10291506,v0.10.1,19106,2 days,9:09:32
10243538,v0.10.0,19107,76 days,23:41:46
9135508,v0.9.1,16368,83 days,21:42:54
8120600,v0.9.0,16368,121 days,0:31:10
6744868,v0.8.0,15035,46 days,1:57:24
6238752,v0.7.0,14844,31 days,3:57:23
5931173,v0.6.3,14550,42 days,0:24:28
5687586,0.6.2,14550,28 days,3:35:56
