id,tag_name,LOC,dayDifference, dayDifferenceHours
16295314,auto-service-1.0-rc5,18147,101 days,18:53:37
14455451,auto-value-1.6.3,17625,49 days,11:50:22
13583864,auto-factory-1.0-beta6,17415,117 days,21:32:32
11675940,auto-value-1.6.2,17332,19 days,15:54:19
11361129,auto-value-1.6.1,18168,72 days,9:14:07
10267646,auto-value-1.6,17344,5 days,23:38:27
10174416,auto-value-1.6rc1,17352,11 days,17:02:29
10008093,auto-value-1.5.4,17352,87 days,0:31:06
9289596,auto-common-0.10,16077,30 days,22:05:45
8949585,auto-value-1.5.3,15713,12 days,18:08:09
8814971,auto-common-0.9,15495,47 days,23:50:56
8174138,auto-value-1.5.2,15340,27 days,21:55:22
7833072,auto-value-1.5.1,14665,36 days,8:48:22
7399931,auto-value-1.5,14638,130 days,14:49:37
6014008,auto-value-1.4.1,14344,21 days,0:52:25
5775770,auto-value-1.4,14579,9 days,8:56:02
5666219,auto-value-1.4-rc3,14579,14 days,0:48:05
5522063,auto-factory-1.0-beta4,14166,61 days,13:39:32
4995470,auto-value-1.4-rc2,15377,65 days,8:27:40
4404155,auto-common-0.8,14218,38 days,22:29:13
4077879,auto-common-0.7,13108,9 days,8:35:21
