id,tag_name,LOC,dayDifference, dayDifferenceHours
16322098,6.0.1,1879,14 days,16:16:51
16022126,6.0.0,1879,20 days,21:12:23
15609311,5.3.5,1837,14 days,5:00:24
15340113,5.3.4,1837,13 days,19:27:21
15077639,5.3.3,1469,13 days,23:31:58
14826902,5.3.2,951,13 days,22:31:58
14679751,5.3.1,533,14 days,2:45:07
14431061,5.3.0,383,21 days,2:58:46
14066565,5.2.5,382,13 days,6:34:41
13828697,5.2.4,159,14 days,16:15:24
13575085,5.2.3,159,13 days,22:22:51
13292820,5.2.2,159,25 days,5:13:40
13047481,5.2.1,159,0:00:00
12866835,5.2.0,159,16 days,16:51:37
12581639,5.1.6,159,14 days,0:01:33
12368344,5.1.5,159,14 days,0:37:04
12155297,5.1.4,159,14 days,1:20:59
11936977,5.1.3,159,13 days,22:15:34
11730448,5.1.2,159,14 days,1:15:59
11518796,5.1.1,159,13 days,22:36:50
11302723,5.1.0,159,7 days,0:20:22
11196557,5.0.6,159,13 days,23:57:04
10978087,5.0.5,159,14 days,1:12:11
10775112,5.0.4,159,14 days,0:36:18
10554250,5.0.3,159,13 days,22:57:15
10350524,5.0.2,159,13 days,11:26:14
10150275,5.0.1,159,13 days,16:24:54
9945104,5.0.0,159,14 days,23:16:53
9726556,4.3.5,147,15 days,1:39:59
9526222,4.3.4,147,11 days,19:51:46
9337968,4.3.3.1,147,1 day,0:49:20
9322469,4.3.3,147,13 days,23:13:55
9141588,4.3.2,147,14 days,2:57:27
9023002,4.3.1,147,16 days,21:31:50
8820552,4.3.0,147,10 days,23:22:33
8659731,4.2.6,147,13 days,23:44:57
8484148,4.2.5,147,14 days,1:07:01
8303204,4.2.4,147,13 days,23:40:21
8126215,4.2.3,147,14 days,11:20:01
7957210,4.2.2,49,13 days,13:46:46
7784891,4.2.1,49,13 days,23:24:35
7619562,4.2.0,49,16 days,22:18:01
7457102,4.1.3,49,11 days,0:49:22
7298600,4.1.2,49,13 days,14:53:24
7151739,4.1.1,49,28 days,10:36:26
6829412,4.1.0,49,25 days,22:30:50
6550135,4.0.8,49,17 days,7:33:19
6380389,4.0.7,49,11 days,17:16:34
6243913,4.0.6,49,14 days,23:05:16
6093618,4.0.5,49,14 days,5:34:30
5950684,4.0.4,49,14 days,4:09:00
5794372,4.0.3,49,17 days,12:32:55
5611908,4.0.2,49,8 days,8:46:08
5531144,4.0.1,49,1 day,12:30:57
5508684,4.0.0,49,22 days,14:03:56
5300369,3.8.5,50,88 days,22:51:10
4527532,3.7.8,50,147 days,15:15:35
3381741,3.6.10,50,6 days,0:11:28
3335831,3.6.9,50,8 days,3:43:03
3279966,3.6.8,50,13 days,1:31:34
3187075,3.6.7,50,13 days,22:50:27
3095057,3.6.6,50,10 days,20:15:33
3023512,3.6.5,50,4 days,21:27:03
2991588,3.6.4,50,14 days,4:55:04
2896368,3.6.3,50,14 days,0:52:05
2802688,3.6.2,50,12 days,20:02:39
2706264,3.6.1,50,8 days,0:13:44
2657969,3.6.0,50,27 days,6:24:38
2484648,3.5.9,50,27 days,19:00:11
2344408,3.5.8,50,7 days,8:41:17
2319860,3.5.7,50,12 days,2:37:03
2253823,3.5.6,50,8 days,20:31:10
2202940,3.5.5,50,12 days,17:59:12
2134518,3.5.4,50,6 days,22:14:27
