id,tag_name,LOC,dayDifference, dayDifferenceHours
15197768,1.2.56,40954,6 days,4:38:48
15074678,1.2.55,40954,51 days,23:39:53
14254458,1.2.54,40807,11 days,3:51:55
14063591,1.2.52,40807,65 days,3:39:21
13173397,1.2.51,40494,40 days,5:52:15
12257985,1.2.49,39125,142 days,13:18:20
10099169,1.2.47,36876,38 days,2:26:56
9529926,1.2.46,36798,14 days,23:55:42
9319499,1.2.45,36798,19 days,15:39:05
9073019,1.1.68.android,36795,11 days,12:49:13
8988596,1.2.44,36795,4 days,21:35:54
8930810,1.2.43,36795,3 days,21:44:10
8869404,1.2.42,36733,24 days,18:53:41
8557516,1.1.67.android,36642,13 days,5:52:57
8384677,1.2.40,36664,23:36:52
8372632,1.1.65.android,36646,26 days,1:09:25
8037217,1.1.64.android,36679,6 days,15:20:54
7955911,1.2.39,36641,27 days,23:04:22
7618508,1.1.63.android,36427,2 days,2:56:18
7605146,1.2.38,36427,15 days,22:18:24
7412015,1.1.62.android,36350,0:22:54
7411651,1.2.37,36350,7 days,21:22:25
7321445,1.2.36,35851,2:29:05
7319126,1.1.61.android,35851,16 days,16:18:34
7134139,1.1.60.android,34674,6 days,17:11:36
7054590,1.2.35,34674,13 days,16:31:17
6905190,1.2.34,34262,8:19:32
6903712,1.1.59.android,34238,20 days,10:31:20
6674531,1.2.33,34238,12 days,1:06:30
6547341,1.1.58.android,34013,20 days,22:21:25
6330124,1.2.32,33676,7 days,3:30:52
6253087,1.1.57.android,33598,29 days,6:37:22
5953117,1.2.31,33501,8 days,4:17:12
5871495,1.2.30,33308,9 days,17:37:16
5766511,1.2.29,33034,56 days,0:40:03
5203562,1.2.24,32346,4 days,4:12:43
5162344,1.1.56.android,32250,26 days,2:05:51
4980970,1.2.23,31610,9 days,20:08:51
4884080,1.2.22,31610,19 days,22:36:00
4708418,1.1.55.android,31610,7 days,10:18:55
4644196,1.2.21,31610,21 days,17:38:47
4455996,1.2.20,31553,2 days,0:24:02
4437406,1.2.19,31534,4 days,21:51:47
4396632,1.2.18,31507,39 days,2:23:59
4056806,1.2.17,30908,8 days,14:46:21
3992560,1.1.54.android,30859,13 days,21:12:32
3885198,1.1.53.android,30834,3:35:14
3884089,1.2.16,30834,14 days,3:25:21
3778095,1.2.15,30678,13 days,20:48:06
3675591,1.2.14,30572,19 days,20:03:25
3531354,1.2.13,30480,36 days,22:58:37
3276642,1.2.12,30365,20:35:04
3276043,1.1.52.android,30325,18 days,14:19:10
3137992,1.2.11_release,29974,15:16:30
3136030,1.1.51-android,29974,7 days,23:40:18
3083723,1.2.10,27809,5:18:40
3083056,1.1.50-android,27789,4 days,21:08:20
3041696,1.2.9,26904,23:23:44
3036800,1.1.49-android,26856,6 days,20:24:26
2989369,1.1.48-android,26591,6 days,12:11:11
2944116,1.1.47-android,26189,35 days,19:19:00
