id,tag_name,LOC,dayDifference, dayDifferenceHours
16004399,v27.1,284470,108 days,21:09:53
14084141,v27.0.1,284524,32 days,0:53:03
13517352,v27.0,283487,77 days,20:27:20
12214271,v26.0,282405,70 days,3:56:57
11262135,v23.6.1,281867,33 days,12:10:48
10724561,v25.0,281848,42 days,0:16:56
10109929,v24.1,281880,41 days,1:39:21
9495947,v24.0,279621,42 days,19:23:52
8998652,v23.6,278851,28 days,4:31:40
8626737,v23.5,273508,13 days,2:58:44
8455470,v23.4,273091,13 days,21:27:39
8278584,v23.3,272817,14 days,21:12:50
8087889,v23.2,272206,14 days,3:06:43
7917024,v23.1,271441,64 days,23:31:56
7309346,v23.0,268935,74 days,1:44:37
6480443,v22.0,266936,19 days,21:39:28
6480439,v22.0-rc1,266515,110 days,1:57:00
5146043,v21.0,131076,8 days,21:35:31
5061143,v21.0-rc2,130851,15 days,3:46:43
4984232,v21.0-rc1,130807,51 days,21:16:53
