id,tag_name,LOC,dayDifference, dayDifferenceHours
16278522,dubbo-2.7.1,53956,18 days,2:36:21
15798694,dubbo-2.6.6,49387,37 days,22:49:31
14953576,dubbo-2.7.0,48743,68 days,22:54:37
14149538,dubbo-2.6.5,44525,57 days,1:00:06
13296821,dubbo-2.6.4,46645,21 days,8:06:23
12054675,dubbo-2.6.3,43840,94 days,15:52:41
10686866,dubbo-2.6.2,32942,68 days,23:58:53
10076477,dubbo-2.6.1,32081,3 days,8:10:31
10040657,dubbo-2.5.10,29289,46 days,23:14:38
9345078,dubbo-2.5.9,29146,17 days,12:28:47
9136898,dubbo-2.6.0,29004,25 days,23:30:46
8849117,dubbo-2.5.8,28766,38 days,6:50:07
8375080,dubbo-2.5.7,28069,23 days,17:38:45
8075388,dubbo-2.5.6,27609,30 days,10:23:34
7717440,dubbo-2.5.5,27289,4 days,21:03:37
