id,tag_name,LOC,dayDifference, dayDifferenceHours
13602196,3.0.0,26366,24 days,23:45:16
13146912,3.0.0.M4,27338,23 days,2:45:49
12734780,3.0.0.M3,28693,28 days,14:22:08
12284599,3.0.0.M2,25214,78 days,5:53:29
11093514,3.0.0.M1,23911,94 days,5:28:11
9702613,2.0.3,20101,28 days,22:14:32
9283005,2.0.2,19959,33 days,22:52:32
8918370,2.0.1,19817,11 days,16:16:57
8750445,2.0.0,18601,13 days,9:53:47
8581791,2.0.0.M3,18587,16 days,19:46:04
8392684,2.0.0.M2,18405,24 days,1:31:47
8059801,2.0.0.M1,16917,18 days,4:55:24
7849891,1.5.4.1,17591,2 days,20:31:51
7802673,1.5.4,17591,14 days,22:11:57
7623435,1.5.3,17551,9 days,22:46:26
7521841,1.5.2,17510,13 days,19:08:10
7357142,1.5.1,17702,11 days,5:36:44
7225738,1.5.0,17215,16 days,0:09:27
7051915,1.5.0.M3,19382,15 days,3:05:18
6889124,1.5.0.M2,18137,14 days,20:12:30
6722955,1.5.0.M1,17972,61 days,23:07:55
6082030,1.4.2,17336,113 days,2:51:03
5177816,1.4.1,16938,57 days,1:44:04
4715467,1.4.0,16614,70 days,6:51:22
4103567,1.3.2,14977,78 days,23:51:51
3521616,1.3.1,14498,24 days,15:32:56
3339525,1.3.0,13843,7 days,3:53:17
3290665,1.2.1,12938,18 days,18:21:54
3164983,1.2.0,12697,62 days,7:43:30
