id,tag_name,LOC,dayDifference, dayDifferenceHours
16373782,1.8.3,72835,42 days,23:14:13
15500804,1.8.2,71835,20 days,1:18:29
15126400,1.8.2-RC1,71579,20 days,5:09:52
14776297,1.8.1,71384,19 days,19:48:25
14530790,1.8.1-RC1,71360,90 days,23:24:40
12895240,1.8.0,68583,31 days,23:15:01
12370496,1.8.0-RC1,68583,102 days,0:01:45
10826962,1.7.3,67669,12 days,20:47:48
10640018,1.7.3-RC1,67233,21 days,4:11:29
10328880,1.7.2,64335,84 days,20:51:33
9103414,1.7.1,62079,6 days,7:01:08
9054722,1.7.0,62079,21 days,16:43:58
8808279,1.7.0-RC2,62079,16 days,5:23:38
8556207,1.7.0-RC1,61876,171 days,19:35:26
6582336,1.6.2,50060,51 days,0:53:51
6055112,1.6.1,48120,8 days,3:41:02
5965903,1.6.1-RC2,48120,18 days,20:08:41
5763546,1.6.1-RC1,48098,97 days,23:24:00
4864234,1.6.0,43540,16 days,23:30:04
4714301,1.6.0-RC2,43523,7 days,0:14:55
4649379,1.6.0-RC1,43279,220 days,4:33:43
2977305,1.5.2,34010,118 days,20:21:05
2270859,1.5.1,31486,16 days,22:00:55
2168780,1.5.0,31327,78 days,21:48:39
1780933,1.1.1,29475,61 days,23:56:32
1508970,1.1.0,28511,54 days,1:30:02
