id,tag_name,LOC,dayDifference, dayDifferenceHours
13913530,3.4,0,6 days,20:31:09
13793579,3.32,0,5:41:57
13790524,3.31,0,18:14:44
13772662,3.3,0,20 days,0:30:15
13390029,3.2,0,12 days,3:45:17
13167257,3.12,0,19:20:57
13163821,3.11,0,0:00:00
13162902,3.1,0,10 days,0:47:49
12975261,3.03,0,9 days,1:45:23
12809800,3.02,0,3:24:05
12809198,3.01,0,2 days,20:02:47
12779307,3.0,0,3 days,21:34:43
12700024,3.0-RC,0,34 days,3:49:15
12670898,3.0-Beta,0,75 days,22:13:22
11021532,2.54,0,11 days,22:28:00
10849433,2.53,0,7 days,3:27:38
10748755,2.52,0,4 days,20:38:09
10660668,2.51,0,4 days,2:38:32
10597720,2.5,0,15 days,22:41:02
10350883,2.44,0,3 days,23:34:30
10313557,2.43,0,22:43:57
10295442,2.42,0,4 days,4:00:23
10241831,2.41,0,23:11:03
10223960,2.4,0,21:56:38
10206142,2.36,0,8 days,3:01:14
10077257,2.35,0,3 days,0:04:26
10031972,2.34,0,4 days,16:10:16
9959490,2.33,0,1 day,1:03:10
9938921,2.32,0,19:25:11
9934382,2.31,0,2 days,12:09:53
9906100,2.3,0,20 days,20:08:17
9606009,2.22,0,1 day,18:28:36
9572849,2.21,0,7:14:48
9566774,2.2,0,14 days,21:12:00
9385324,2.11,0,2 days,21:42:24
9343709,2.10,0,1:00:13
9315664,2.03,0,1 day,8:59:37
9301337,2.02,0,1 day,13:15:02
9281368,2.01,0,3:59:31
9265357,2.0,0,11 days,3:05:18
9109347,1.61,0,2 days,16:43:14
9092297,1.6,0,8 days,4:59:42
9040145,1.5,0,7 days,5:46:59
9021212,1.4,0,2 days,16:06:40
8931506,1.3,0,2 days,0:14:15
8916533,1.2,0,1 day,2:15:45
