id,tag_name,LOC,dayDifference, dayDifferenceHours
16229740,redisson-3.10.5,43501,11 days,21:34:52
15991641,redisson-3.10.4,42860,10 days,1:04:47
15775133,redisson-3.10.3,42860,18 days,19:19:22
15425426,redisson-3.10.2,42652,0:00:32
15425421,redisson-2.15.2,41709,17 days,5:06:46
15083773,redisson-3.10.1,42492,0:10:55
15083770,redisson-2.15.1,41549,24 days,19:42:47
14715022,redisson-3.10.0,42220,0:10:59
14715016,redisson-2.15.0,41277,36 days,1:05:44
14157745,redisson-3.9.1,39871,0:11:47
14157741,redisson-2.14.1,39555,20 days,22:57:13
13785148,redisson-3.9.0,38985,2:43:34
13785146,redisson-2.14.0,38967,24 days,23:38:20
13281108,redisson-3.8.2,35187,0:20:47
13281106,redisson-2.13.2,35169,17 days,22:47:31
12956770,redisson-3.8.1,35143,0:29:41
12956766,redisson-2.13.1,35125,14 days,20:49:21
12718649,redisson-2.13.0,34438,46 days,3:44:21
12009768,redisson-3.7.5,31499,0:10:53
12009764,redisson-2.12.5,31481,2 days,20:29:18
12003626,redisson-3.7.4,31499,0:10:44
12003622,redisson-2.12.4,31481,19 days,0:09:41
11691672,redisson-3.7.3,31379,13 days,1:27:14
11488930,redisson-3.7.2,31007,12 days,20:44:23
11291842,redisson-3.7.1,30890,0:11:42
11291841,redisson-2.12.1,30872,18 days,5:43:46
10981733,redisson-3.7.0,30471,34 days,22:34:28
10799527,redisson-3.6.5,29073,13 days,0:41:52
10278074,redisson-3.6.4,28922,0:09:23
10278070,redisson-2.11.4,28903,12 days,22:11:07
10081605,redisson-3.6.3,28739,0:18:46
10081601,redisson-2.11.3,28722,9 days,1:19:46
9937983,redisson-3.6.2,28639,18 days,5:59:53
9685070,redisson-3.6.1,28460,0:15:40
9685069,redisson-2.11.1,28441,16 days,23:21:52
9426108,redisson-3.6.0,28606,34 days,21:42:14
9191199,redisson-3.5.7,28179,0:24:37
9191196,redisson-2.10.7,28156,54 days,19:29:58
8827190,redisson-3.5.6,28167,70 days,18:52:10
7929941,redisson-3.5.4,27800,0:18:29
7929938,redisson-2.10.4,27788,15 days,7:17:38
7733940,redisson-3.5.3,27486,0:11:24
7733935,redisson-2.10.3,27474,18:12:47
7725237,redisson-3.5.2,27486,0:25:46
7725235,redisson-2.10.2,27474,14 days,2:19:59
7725224,redisson-3.5.1,27186,0:12:38
7725218,redisson-2.10.1,27174,111 days,19:45:42
