id,tag_name,LOC,dayDifference, dayDifferenceHours
2375826,parent-2.0.0-beta3,5935,99 days,2:08:29
1877744,parent-2.0.0-beta2,5090,478 days,13:33:16
386281,parent-1.6.0,5030,29 days,9:37:53
386280,parent-1.5.1,4772,48 days,9:12:17
386279,parent-1.5.0,4429,47 days,10:26:32
386278,parent-1.4.1,3984,12:29:26
386277,parent-1.4.0,3932,67 days,12:12:13
386276,parent-1.3.0,3717,73 days,16:47:10
48665,parent-1.2.2,3004,13 days,5:12:32
36095,parent-1.2.1,2982,7 days,5:17:01
36094,parent-1.2.0,2897,58 days,19:58:49
36093,parent-1.1.1,2390,5 days,0:47:30
36092,parent-1.1.0,2274,27 days,14:18:50
36091,parent-1.0.2,2022,10 days,7:54:41
36090,parent-1.0.1,1909,5:31:18
36089,parent-1.0.0,1909,255 days,22:59:27
36087,0.6.0-rc6,1452,14 days,22:38:22
36086,0.6.0-rc5,1452,6 days,20:31:42
36085,0.6.0-rc4,1452,22 days,4:15:30
36084,0.6.0-rc3,1465,24 days,21:15:48
36083,0.6.0-rc2,1462,9 days,0:44:52
