id,tag_name,LOC,dayDifference, dayDifferenceHours
16347073,v3.4.8,118,31 days,18:58:58
15718479,v3.4.7,118,43 days,12:07:02
14892413,v3.4.6,118,34 days,0:45:51
14399203,v3.4.5,118,14 days,21:30:15
14132157,v3.4.4,118,14 days,0:18:00
13889681,v3.4.3,118,15 days,1:20:53
13621293,v3.4.2,118,26 days,22:57:29
13118458,v3.4.1,118,0:00:00
12753481,v3.4.0,118,29 days,1:09:17
12623532,3.3.0,118,26 days,22:37:58
12216288,3.2.0,118,21 days,1:01:28
11887954,3.1.0,118,28 days,23:42:23
11453102,3.0.0,118,19 days,0:51:04
11169916,2.8.0,118,21 days,9:11:50
10837952,2.7.0,118,23 days,15:28:07
10466130,2.6.0,118,26 days,23:31:47
10075552,2.5.0,118,34 days,22:37:49
9564803,2.4.0,118,55 days,20:52:01
8882931,2.3.0,118,41 days,23:38:40
8338001,2.2.0,118,166 days,13:39:54
6431982,2.1.0,118,72 days,13:53:57
5659068,2.0.0,0,53 days,12:03:11
5141039,1.9.0,0,19 days,9:06:17
5011811,1.8.0,0,17 days,2:45:14
4851146,1.7.0,0,48 days,19:51:38
4426264,1.6.0,0,58 days,13:16:03
3922712,1.5.0,0,23 days,13:55:16
3766854,1.4.0,0,300 days,17:11:48
1901435,1.3.0,0,257 days,3:42:06
