id,tag_name,LOC,dayDifference, dayDifferenceHours
7219113,WebMagic-0.7.3,3648,42 days,23:19:12
6745956,WebMagic-0.7.2,3572,13 days,8:17:16
6597305,WebMagic-0.7.1,3539,5 days,22:16:12
6529245,WebMagic-0.7.0,3248,127 days,21:32:30
5224579,webmagic-parent-0.6.1,3004,34 days,0:43:44
4822837,WebMagic-0.6.0,3004,331 days,15:48:38
2466739,webmagic-0.5.3,3110,596 days,1:56:19
356536,WebMagic-0.5.2,2958,32 days,17:35:29
301019,WebMagic-0.5.1,2845,5 days,11:07:43
290763,WebMagic-0.5.0,2765,45 days,5:02:41
221460,webmaigc-0.4.3,2332,99 days,8:14:37
110775,webmagic-0.4.2,2307,5 days,10:30:34
106189,webmagic-0.4.1,2307,16 days,22:31:21
86780,webmagic-0.4.0,2218,49 days,1:20:41
50068,webmagic-0.3.2,2216,14 days,14:47:27
40682,webmagic-parent-0.3.1,2169,4 days,11:34:02
38265,webmagic-0.3.0,2170,23 days,15:57:43
