id,tag_name,LOC,dayDifference, dayDifferenceHours
3372628,1.1,3837,17:14:25
3546404,1.2,4044,25 days,2:30:56
3623363,1.3,4587,11 days,2:19:06
3645074,1.4,4717,2 days,23:05:32
3723595,1.5,4843,9 days,20:04:04
3779858,1.6,4841,8 days,17:46:17
3916870,1.7,5003,17 days,16:25:21
4014248,1.8,5096,12 days,12:33:28
7726360,2.0,13777,377 days,14:52:15
7972181,2.1,13967,20 days,7:50:03
8074652,2.2,13951,8 days,7:39:01
8488467,2.3,14377,33 days,1:19:47
8699137,2.4,14832,16 days,2:02:41
9828147,2.5,14932,88 days,14:57:48
10133792,2.6,15029,19 days,4:17:50
10442343,2.7,14516,21 days,18:48:45
10828143,2.8,15369,25 days,6:15:10
