id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
15707937,v1.7.2,5038,60 days,23:04:06,38
14675616,v1.7.1,5000,42 days,3:11:04,36
13938139,v1.7.0,4964,77 days,2:04:51,49
12576069,v1.6.8,4915,12 days,6:14:25,19
12378469,v1.6.7,4896,42 days,5:46:23,131
11734849,v1.6.6,4765,7 days,2:06:47,23
11627144,v1.6.5,4742,35 days,4:50:47,237
11088424,v1.6.4,4505,36 days,7:05:13,94
10548466,v1.6.3,4411,12 days,23:06:56,36
10347624,v1.6.2,4375,9 days,3:15:55,2740
10233964,v1.6.1,1635,7 days,16:35:00,113
10114330,v1.6.0,1522,27 days,5:20:57,335
9712304,v1.5.4,1187,47 days,14:17:38,54
9068125,v1.5.3,1133,43 days,22:41:58,0
8555942,v1.5.2,1133,1 day,1:42:53,0
8537611,v1.5.1,1133,13 days,5:32:59,0
8366829,v1.5.0,1133,14:43:40,11
8353918,v1.4.0,1122,11 days,2:00:16,105
8209568,v1.3.5,1017,153 days,2:47:39,65
6457588,v1.3.4,952,15 days,0:37:40,87
6302311,v1.3.3,865,126 days,9:00:26,-2
5044022,v1.3.2,867,85 days,13:35:34,0
4329558,v1.3.1,867,12 days,11:45:33,0
4221295,v1.3.0,867,37 days,0:28:15,0
3917653,v1.2.11,867,58 days,3:33:10,0
3488764,v1.2.10,867,95 days,11:51:30,0
2836667,v1.2.9,867,77 days,19:38:31,0
2357633,v1.2.8,867,49 days,15:58:39,44
2107950,v1.2.7,823,25 days,8:48:49,-1
1975668,v1.2.6,824,37 days,17:48:19,0
1786783,v1.2.5,824,59 days,1:22:32,32
1525783,v1.2.4,792,46 days,22:58:37,0
1336529,v1.2.3,792,15 days,2:38:22,0
1280947,v1.2.2,792,3 days,2:18:27,0
1273307,v1.2.1,792,14:20:44,0
1270360,v1.2.0,792,4 days,22:05:56,0
1247749,v1.1.5,792,4 days,4:11:59,0
1226877,v1.1.4,792,13 days,2:32:26,0
1169117,v1.1.3,792,12 days,19:10:48,0
1119645,v1.1.2,792,2 days,1:53:17,0
1110034,v1.1.1,792,4 days,5:41:11,0
