id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
16257089,canal-1.1.3-alpha-3,8844,73 days,7:20:05,398
14826957,canal-1.1.3-alpha-2,8446,21 days,0:46:06,0
14563339,canal-1.1.3-alpha-1,8446,20 days,23:31:01,86
14177203,canal-1.1.2,8360,27 days,22:24:25,1254
13702643,canal-1.1.1,7106,55 days,2:02:16,149
12711702,canal-1.1.1-preview-1,6957,14 days,23:26:13,12
12475582,canal-1.1.0,6945,12 days,18:37:40,136
12286705,canal-1.0.26-preview-5,6809,18 days,2:06:14,54
12022429,canal-1.0.26-preview-4,6755,44 days,5:05:10,706
11361643,canal-1.0.26-preview-3,6049,183 days,20:56:30,328
8754887,v1.0.25,5721,246 days,17:25:07,296
5945469,canal-1.0.24,5425,92 days,6:21:03,-16
5037356,v1.0.23,5441,182 days,21:58:08,17
3558085,canal-1.0.22,5424,183 days,0:35:47,1
2353931,canal-1.0.21,5423,183 days,5:59:34,0
