id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
15737668,v1.3.9,33395,53 days,11:46:35,219
14816325,v1.3.8,33176,91 days,2:44:24,94
13412734,v1.3.7,33082,1 day,4:24:08,196
13174804,v1.2.9,32886,98 days,15:06:33,731
11639832,v1.2.8,32155,9 days,8:40:12,278
11496243,v1.2.7,31877,8 days,11:08:59,22
11358566,v1.3.3,31855,30 days,23:42:25,172
10967338,v1.2.6,31683,32 days,4:28:38,42
10397036,v1.2.5,31641,20 days,22:03:41,103
10092259,v1.3.0,31538,31 days,7:26:27,475
9804815,v1.3.0-rc7,31063,14 days,0:56:06,24
9608670,v1.3.0-rc6,31039,17 days,15:09:29,23
9375225,v1.2.3,31016,3 days,18:46:54,21
9305531,v1.3.0-rc4,30995,9 days,12:31:28,457
9161578,v1.3.0-rc3,30538,3 days,15:10:25,-28
9161570,v1.3.0-rc2,30566,39 days,11:32:01,835
8663198,v1.2.2,29731,4 days,17:08:52,25
8631043,v1.3.0-rc1,29706,2:38:48,0
8620400,v1.2.1,29706,20 days,4:24:46,1699
8358785,v1.1.6,28007,15 days,19:17:24,26
8319678,v1.1.5,27981,10 days,23:38:13,0
8025126,v1.2.0,27981,67 days,1:20:50,534
7227620,v1.0.9,27447,34 days,2:03:24,302
6929355,v1.0.8,27145,38 days,19:11:42,299
6442787,v1.1.1,26846,59 days,3:38:38,337
5828787,v1.1.0,26509,13:52:37,0
5807879,v1.0.7,26509,35 days,10:16:41,632
5436813,v1.1.0-rc1,25877,13 days,13:19:21,1080
5307289,v1.0.6,24797,73 days,7:57:46,530
4707606,v1.0.5,24267,3 days,16:59:11,25
4665419,v1.0.4,24242,17 days,0:38:38,350
4523841,v1.0.3,23892,34 days,23:03:47,220
4216861,v1.0.2,23672,2 days,5:39:54,0
4195598,v1.0.1,23672,56 days,23:25:58,983
3751392,v1.0.0,22689,18 days,4:46:29,8
3751384,v1.0.0-rc4,22681,17 days,17:59:06,31
3495868,v0.9.3,22650,19 days,22:02:37,243
3420078,v1.0.0-rc3,22407,62 days,8:15:13,650
2913684,v1.0.0-rc2,21757,11 days,9:17:27,41
2845022,v1.0.0-rc1,21716,58 days,14:13:34,1121
2458556,v0.9.2,20595,77 days,16:18:11,3530
2064512,v0.9.1,17065,6 days,0:28:51,77
2034121,v0.9.0,16988,63 days,13:15:25,685
1722953,v0.8.4,16303,1 day,12:19:43,-2
1722176,v0.8.3,16305,48 days,19:14:37,197
1722172,v0.8.2,16108,90 days,5:18:56,0
