id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
15797118,1.1.14,58143,26 days,23:47:44,20
15266765,1.1.13,58123,134 days,9:56:05,95
15266379,1.1.11,58028,113 days,18:09:12,103
11194374,1.1.10,57925,76 days,20:08:52,400
10033744,1.1.9,57525,28 days,4:53:18,115
9626644,1.1.8,57410,7 days,0:52:56,44
9528259,1.1.7,57366,64 days,0:33:37,146
8744847,1.1.6,57220,35 days,16:58:51,416
8289267,1.1.5,56804,24 days,4:23:25,704
7976112,1.1.4,56100,29 days,3:09:19,420
7622234,1.1.3,55680,42 days,12:25:19,279
7137609,1.1.2,55401,10 days,14:25:49,108
7023306,1.1.1,55293,17 days,15:28:38,114
6827676,1.1.0,55179,42 days,9:28:53,154
6379722,1.0.31,55025,1:06:07,0
6377382,1.0.30,55025,60 days,12:47:05,397
5738795,1.0.29,54628,36 days,23:02:54,116
5363946,1.0.28,54512,71 days,7:56:16,118
4763188,1.0.27,54394,67 days,22:33:56,447
4166056,1.0.26,53947,28 days,19:52:43,57
3936487,1.0.25,53890,14 days,2:42:52,26
3830578,1.0.24,53864,22 days,17:28:58,154
3673254,1.0.23,53710,5 days,6:31:41,1355
3623813,1.0.22,52355,10 days,16:13:58,142
3551822,1.0.21,52213,39 days,22:10:17,-63
3276373,1.0.20,52276,13 days,10:25:38,192
3177209,1.0.19,52084,55 days,7:34:52,0
