id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
14504456,druid-0.13.0-incubating,234849,74 days,12:25:56,5962
12968009,druid-0.12.3,228887,39 days,18:42:14,3117
12342553,druid-0.12.2,225770,65 days,4:17:59,7266
11337740,druid-0.12.1,218504,91 days,0:49:43,7374
10010084,druid-0.12.0,211130,91 days,21:07:21,14733
8771175,druid-0.11.0,196397,104 days,0:00:57,12061
7487564,druid-0.10.1,184336,126 days,4:23:13,10993
6114509,druid-0.10.0,173343,137 days,21:50:12,27951
4810774,druid-0.9.2,145392,155 days,2:58:28,21554
3552747,druid-0.9.1.1,123838,17:54:15,28
3544936,druid-0.9.1,123810,77 days,2:20:54,12504
3013735,druid-0.9.0,111306,76 days,21:57:47,19115
2497730,druid-0.8.3,92191,70 days,1:20:34,11953
1957243,druid-0.8.2,80238,62 days,15:54:44,6214
1819670,druid-0.8.1,74024,62 days,12:48:36,7958
1541978,druid-0.8.0,66066,48 days,22:00:54,7174
1344794,druid-0.7.3,58892,47 days,21:07:07,5792
1146913,druid-0.7.1.1,53100,69 days,23:19:43,6461
980529,druid-0.7.0,46639,33 days,21:58:19,947
872606,druid-0.6.171,45692,90 days,1:04:13,4659
677986,druid-0.6.160,41033,62 days,3:34:59,1977
506993,druid-0.6.146,39056,77 days,16:28:12,3756
431189,druid-0.6.120,35300,138 days,3:28:27,0
