id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
15076042,mybatis-3.5.0,31496,315 days,2:12:08,-780
10034476,mybatis-3.4.6,32276,203 days,6:25:43,514
7455234,mybatis-3.4.5,31762,134 days,5:19:43,1576
6019658,mybatis-3.4.4,30186,9:23:05,0
6016416,mybatis-3.4.3,30186,95 days,8:56:42,743
5057949,mybatis-3.4.2,29443,190 days,15:41:28,1812
3523256,mybatis-3.4.1,27631,68 days,23:39:33,1891
3051755,mybatis-3.4.0,25740,64 days,0:15:33,1330
2610139,mybatis-3.3.1,24410,265 days,18:09:39,1760
1331174,mybatis-3.3.0,22650,225 days,6:31:11,1048
619442,mybatis-3.2.8,21602,186 days,22:28:46,842
259269,mybatis-3.2.7,20760,16 days,2:57:57,88
234739,mybatis-3.2.6,20672,34 days,19:32:24,-5904
186980,mybatis-3.2.5,26576,29 days,21:51:57,183
151325,mybatis-3.2.4,26393,334 days,12:35:43,0
