id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
8916533,1.2,0,1 day,20:02:05,0
8931506,1.3,0,1 day,6:52:33,0
9021212,1.4,0,7 days,23:59:44,0
9040145,1.5,0,3 days,4:38:35,0
9092297,1.6,0,6 days,22:01:43,0
9265357,2.0,0,13 days,19:45:00,0
9343709,2.1,0,5 days,23:35:50,0
9566774,2.2,0,14 days,22:55:20,0
9906100,2.3,0,22 days,21:22:58,0
10223960,2.4,0,21 days,1:53:23,0
10597720,2.5,0,26 days,0:09:10,0
12670898,3.0,0,135 days,3:00:45,0
13162902,3.1,0,28 days,23:59:27,0
13390029,3.2,0,12 days,22:53:47,0
13772662,3.3,0,20 days,0:36:51,0
