id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
1901435,1.3,76,257 days,3:44:48,0
3766854,1.4,76,300 days,17:21:25,0
3922712,1.5,76,20 days,23:12:29,0
4426264,1.6,76,61 days,3:47:55,0
4851146,1.7,76,48 days,20:00:47,0
5011811,1.8,76,18 days,22:56:58,0
5141039,1.9,76,17 days,12:45:05,0
5659068,2.0,76,53 days,12:30:10,-76
6431982,2.1,152,72 days,13:26:30,0
8338001,2.2,152,166 days,14:05:18,0
8882931,2.3,152,41 days,23:28:22,0
9564803,2.4,152,55 days,20:49:58,0
10075552,2.5,152,34 days,22:42:38,0
10466130,2.6,152,26 days,23:24:10,0
10837952,2.7,152,23 days,15:43:06,0
11169916,2.8,152,21 days,8:58:12,0
11453102,3.0,152,19 days,2:40:17,0
11887954,3.1,152,28 days,22:18:52,0
12216288,3.2,152,21 days,1:09:32,0
12623532,3.3,152,26 days,22:15:39,0
