id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
13911672,v2.0.1,464,5 days,6:57:24,10
13814011,v2.0.0,454,29 days,4:33:13,12
13269065,v1.9.2,442,225 days,4:03:22,-69
9785539,v1.9.1,511,54 days,21:33:25,12
9058320,v1.9.0,499,115 days,23:35:43,137
7626718,v1.8.2,362,36 days,1:18:35,34
7219862,v1.8.1,328,13 days,1:26:47,217
7061976,v1.8.0,111,60 days,22:14:16,0
6414566,v1.7.2,111,8 days,23:01:11,61
6311213,v1.7.1,50,6 days,2:39:21,0
6249809,v1.7.0,50,7 days,3:27:05,0
6177443,v1.6.2,50,29 days,3:53:21,0
5874249,v1.6.1,50,13 days,19:52:03,0
5720232,v1.6.0,50,12 days,18:19:58,-61
5594084,v1.5.2,111,105 days,10:38:29,0
4763042,v1.5.1,111,1 day,19:44:30,0
4645058,v1.5.0,111,44 days,20:14:42,0
4262020,v1.4.2,111,66 days,21:10:57,-1
3731452,v1.4.0,112,57 days,0:58:08,-7
3326201,v1.3.2,119,5 days,0:02:46,-3
3283773,v1.3.1,122,3 days,22:17:00,0
3266835,v1.3.0,122,123 days,20:31:49,0
