id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
3372628,1.1,16167,17:14:25,-207
3546404,1.2,16374,25 days,2:30:56,-543
3623363,1.3,16917,11 days,2:19:06,-130
3645074,1.4,17047,2 days,23:05:32,-126
3723595,1.5,17173,9 days,20:04:04,2
3779858,1.6,17171,8 days,17:46:17,-162
3916870,1.7,17333,17 days,16:25:21,-93
4014248,1.8,17426,12 days,12:33:28,-8681
7726360,2.0,26107,377 days,14:52:15,-190
7972181,2.1,26297,20 days,7:50:03,16
8074652,2.2,26281,8 days,7:39:01,-426
8488467,2.3,26707,33 days,1:19:47,-455
8699137,2.4,27162,16 days,2:02:41,-100
9828147,2.5,27262,88 days,14:57:48,-97
10133792,2.6,27359,19 days,4:17:50,513
10442343,2.7,26846,21 days,18:48:45,-853
10828143,2.8,27699,25 days,6:15:10,0
