id,tag_name,covpercent,dayDifference, dayDifferenceHours
1901435,1.3,0.003981585168595247,257 days,3:44:48
3766854,1.4,0.003210759071908887,300 days,17:21:25
3922712,1.5,0.0026527854246959307,20 days,23:12:29
4426264,1.6,0.010466988727858293,61 days,3:47:55
4851146,1.7,0.016887775822390688,48 days,20:00:47
5011811,1.8,0.020573701712403268,18 days,22:56:58
5141039,1.9,0.022002666989938174,17 days,12:45:05
5659068,2.0,0.023195728311419878,53 days,12:30:10
6431982,2.1,0.02082637836727357,72 days,13:26:30
8338001,2.2,0.02013722041958735,166 days,14:05:18
8882931,2.3,0.019959736816262397,41 days,23:28:22
9564803,2.4,0.01969619885166073,55 days,20:49:58
10075552,2.5,0.0195409205624324,34 days,22:42:38
10466130,2.6,0.01932217891434547,26 days,23:24:10
10837952,2.7,0.019257188876782416,23 days,15:43:06
11169916,2.8,0.019017988724882452,21 days,8:58:12
11453102,3.0,0.01878379002818724,19 days,2:40:17
11887954,3.1,0.01847433362874088,28 days,22:18:52
12216288,3.2,0.01823810485227808,21 days,1:09:32
12623532,3.3,0.018039807397874277,26 days,22:15:39
